split,language,n,xcomet_mean_x100,xcomet_std_x100,cv_xcomet,bottom20_n,bottom20_xcomet_mean_x100,major_or_critical_percent,error_penalty_mean
dev,eng_Latn-hau_Latn,997,61.55081803769381,20.94003685950446,0.34020728768674935,200,31.08324096724391,83.24974924774324,2.044748293643147
dev,eng_Latn-plt_Latn,997,55.37102630169485,21.467075390136277,0.38769509658662754,200,26.643302991986275,81.34403209628887,2.0089824661738733
dev,eng_Latn-som_Latn,997,55.348215554817514,22.104816105365117,0.39937721358825473,200,25.301646806299686,84.95486459378134,2.129373263754869
dev,eng_Latn-swh_Latn,997,77.77748919926293,17.472742313130023,0.2246503775451729,200,49.81907198578119,64.89468405215646,1.1578427365726296
dev,eng_Latn-xho_Latn,997,46.63113088850511,21.359381737352553,0.45804983345616834,200,21.602253921329975,73.01905717151455,1.8420112902819383
dev,eng_Latn-zho_Hans,997,85.55119500356308,13.013525995966033,0.15211390086864407,200,64.64000532031059,51.35406218655968,0.8978326406320353
devtest,eng_Latn-hau_Latn,1012,58.94503454298605,21.41536784924878,0.3633108032811735,203,27.895825286510544,86.06719367588933,2.269057073819181
devtest,eng_Latn-plt_Latn,1012,54.04477885191737,21.36797377801332,0.3953753578409774,203,25.293598302039022,82.11462450592886,2.1283742832607406
devtest,eng_Latn-som_Latn,1012,51.9862003271052,22.12387123072829,0.42557199971379855,203,23.094214388889633,84.88142292490119,2.3672783652992537
devtest,eng_Latn-swh_Latn,1012,75.43978097116052,19.13815164920484,0.2536877944611354,203,44.89556828449513,66.00790513833992,1.2918608199942772
devtest,eng_Latn-xho_Latn,1012,44.02426459307491,20.297681192055826,0.46105667816762763,203,21.054642695217886,76.28458498023716,2.0346595060543136
devtest,eng_Latn-zho_Hans,1012,85.61886334607723,12.881905431135824,0.1504563939264913,203,64.86183410794865,49.90118577075099,0.9026712985778995
